name,description,price,discountPrice,productCode,category,imageUrlsCsv,quantity
"GUINOT HYDRAZONE FLUIDE SOLAIRE VISAGE SPF30 50ML","Fluide solaire haute protection pour le visage. Texture légère et non grasse. Protection UVA/UVB optimale.",458,400,GUINOT1,Soin du Visage,"https://images.unsplash.com/photo-1556228720-195a672e8a03?w=500,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?w=500",1003
"LA ROCHE-POSAY EFFACLAR DUO+ 40ML","Soin anti-imperfections intensif. Réduit les boutons et points noirs. Action anti-marques.",285,250,LAROCHE1,Soin du Visage,"https://images.unsplash.com/photo-1556228578-0d85b1a4d571?w=500,https://images.unsplash.com/photo-1571875257727-256c39da42af?w=500",850
"VICHY LIFTACTIV COLLAGEN SPECIALIST 50ML","Soin anti-âge au collagène. Raffermit et lisse la peau. Réduit les rides visibles.",320,280,VICHY1,Soin du Visage,"https://images.unsplash.com/photo-1556228453-efd6c1ff04f6?w=500,https://images.unsplash.com/photo-1608248543803-ba4f8c70ae0b?w=500,https://images.unsplash.com/photo-1556228852-80c3c2e8c9a2?w=500",620
"BIODERMA SENSIBIO H2O 500ML","Solution micellaire démaquillante. Nettoie et apaise les peaux sensibles. Sans rinçage.",180,160,BIODERMA1,Soin du Visage,"https://images.unsplash.com/photo-1556228720-195a672e8a03?w=500,https://images.unsplash.com/photo-1571875257727-256c39da42af?w=500",1200
"AVÈNE EAU THERMALE SPRAY 300ML","Eau thermale apaisante et anti-irritante. Calme les rougeurs. Convient aux peaux sensibles.",120,100,AVENE1,Soin du Visage,"https://images.unsplash.com/photo-1556228578-0d85b1a4d571?w=500,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?w=500",950
"NUXE HUILE PRODIGIEUSE 100ML","Huile sèche multi-usages. Nourrit visage corps et cheveux. Fini satiné non gras.",280,245,NUXE1,Soin du Corps,"https://images.unsplash.com/photo-1608248543803-ba4f8c70ae0b?w=500,https://images.unsplash.com/photo-1556228852-80c3c2e8c9a2?w=500,https://images.unsplash.com/photo-1556228720-195a672e8a03?w=500",780
"CAUDALIE VINOSOURCE CRÈME SORBET 40ML","Crème hydratante légère effet fraîcheur. Apaise et hydrate intensément. Texture gel-crème.",250,220,CAUDALIE1,Soin du Visage,"https://images.unsplash.com/photo-1571875257727-256c39da42af?w=500,https://images.unsplash.com/photo-1556228578-0d85b1a4d571?w=500",540
"EUCERIN HYALURON-FILLER JOUR SPF30 50ML","Soin anti-rides à l'acide hyaluronique. Protection solaire SPF30. Comble les rides de l'intérieur.",340,299,EUCERIN1,Soin du Visage,"https://images.unsplash.com/photo-1620916566398-39f1143ab7be?w=500,https://images.unsplash.com/photo-1608248543803-ba4f8c70ae0b?w=500",420
"NEUTROGENA HYDRO BOOST GEL-CRÈME 50ML","Gel-crème ultra-hydratant à l'acide hyaluronique. Hydratation intense 48h. Texture légère.",180,155,NEUTROGENA1,Soin du Visage,"https://images.unsplash.com/photo-1556228852-80c3c2e8c9a2?w=500,https://images.unsplash.com/photo-1556228720-195a672e8a03?w=500",890
"CERAVE CRÈME HYDRATANTE VISAGE 52ML","Crème hydratante avec céramides. Restaure la barrière cutanée. Formule non comédogène.",150,130,CERAVE1,Soin du Visage,"https://images.unsplash.com/photo-1571875257727-256c39da42af?w=500,https://images.unsplash.com/photo-1556228578-0d85b1a4d571?w=500,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?w=500",1100
